gen,age,suicide_no
Boomers,25-34 years,93915
Boomers,35-54 years,750861
Boomers,55-74 years,682045
G. I. Generation,75+ years,289294
Generation X,05-14 years,750
Generation X,15-24 years,187110
Generation X,25-34 years,503393
Generation X,35-54 years,1024208
Generation Z,05-14 years,24450
Generation Z,15-24 years,99340
Millenials,05-14 years,20907
Millenials,15-24 years,355670
Millenials,25-34 years,282245
Millenials,35-54 years,5127
Silent,55-74 years,563381
Silent,75+ years,247600
